playerID,adjusted_salary,age,career_length,bats,throws,POS,teamName,career_OPS,career_PA,Career_R,Career_H,Career_HR,career_RBI,Career_BB,Career_SO,Career_IBB,career_TB,career_WAR
bumbral01,462400.0,38.0,13.0,L,R,OF,San Diego Padres,0.721,5619,778,1422,54,402,471,709,30,1908,24.48
chambal01,173400.0,24.0,2.0,L,L,OF,Seattle Mariners,0.618,141,15,25,2,11,21,34,1,35,-0.3799999999999999
cowenal01,1156000.0,33.0,11.0,R,R,OF,Seattle Mariners,0.727,5951,699,1479,108,711,386,641,28,2211,16.169999999999998
newmaal01,173400.0,25.0,0.0,B,R,2B,Washington Nationals,0.457,32,7,5,0,1,3,4,0,6,-0.25
oliveal01,2167500.0,38.0,17.0,L,L,OF,Los Angeles Dodgers,0.795,9778,1189,2743,219,1326,535,756,119,4083,43.620000000000005
pardoal01,173400.0,22.0,0.0,B,R,C,Baltimore Orioles,0.314,78,3,10,0,1,3,15,0,11,-1.18
ashbyal01,1204168.0,33.0,12.0,B,R,C,Houston Astros,0.667,3559,297,754,62,376,336,470,52,1105,8.01
bannial01,1011500.0,33.0,11.0,R,R,OF,Texas Rangers,0.689,3373,430,811,19,288,292,318,13,1067,3.6
kniceal01,173400.0,30.0,6.0,R,R,C,Cincinnati Reds,0.621,500,40,95,11,55,51,107,8,142,-1.34
trammal01,1494543.0,27.0,8.0,R,R,SS,Detroit Tigers,0.743,4628,595,1141,69,429,429,462,12,1599,31.37
wiggial01,1481125.0,27.0,4.0,B,R,2B,San Diego Padres,0.66,1941,279,450,4,92,185,139,4,548,7.76
hallal02,173400.0,27.0,4.0,B,R,OF,Atlanta Braves,0.585,223,34,44,1,12,22,33,1,57,-1.07
sanchal01,173400.0,26.0,3.0,R,R,OF,Detroit Tigers,0.672,195,27,47,8,20,0,57,0,84,-0.5800000000000001
trevial01,1336625.0,27.0,7.0,R,R,C,San Francisco Giants,0.62,1848,161,414,11,160,134,196,21,531,4.73
griffal01,1762900.0,27.0,9.0,B,R,SS,Oakland Athletics,0.613,4089,427,964,15,285,159,338,4,1260,-0.4599999999999999
espinal01,173400.0,23.0,1.0,R,R,SS,Minnesota Twins,0.586,62,5,15,0,9,1,9,0,17,0.01
davisal01,650250.0,24.0,1.0,L,R,1B,Seattle Mariners,0.855,1355,158,327,45,194,187,149,23,537,8.91
dawsoan01,2986332.0,30.0,9.0,R,R,OF,Washington Nationals,0.8,5592,763,1434,205,760,317,817,60,2442,46.03
roberan01,173400.0,27.0,4.0,R,R,3B,New York Yankees,0.606,778,80,182,5,54,26,120,0,237,0.81
thornan01,3179000.0,35.0,12.0,R,R,OF,Cleveland Guardians,0.827,5723,735,1240,236,824,801,759,69,2220,24.52
galaran01,173400.0,24.0,0.0,R,R,1B,Washington Nationals,0.508,79,9,14,2,4,3,18,0,21,0.21
thomaan01,173400.0,21.0,0.0,R,R,SS,Atlanta Braves,0.556,19,6,5,0,2,0,2,0,5,-0.16
vanslan01,491300.0,24.0,2.0,L,R,OF,St. Louis Cardinals,0.758,1269,157,279,28,143,156,189,20,449,6.890000000000001
howear01,173400.0,38.0,11.0,R,R,1B,St. Louis Cardinals,0.708,2954,268,682,43,293,275,287,47,996,13.84
garbeba01,173400.0,28.0,1.0,R,R,1B,Detroit Tigers,0.703,607,72,155,11,81,32,72,3,218,0.51
